name,name_normalized,short_description,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,dry_reason_en,oily_effect,oily_reason_tr,oily_reason_en,combination_effect,combination_reason_tr,combination_reason_en,normal_effect,normal_reason_tr,normal_reason_en,sensitive_effect,sensitive_reason_tr,sensitive_reason_en,mature_effect,mature_reason_tr,mature_reason_en,pregnancy_safe_effect,pregnancy_safe_reason_tr,pregnancy_safe_reason_en
Ferula galbaniflua,ferulagalbaniflua,"Rating: Poor. Categories: Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",-1.0,0.0,0.0,0.0,-4.0,0.0,0.0,,Sensitizing,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Ferulic Acid,ferulicacid,"Ferulic acid is a naturally occurring acid found in plants, such as bran. It is used in skincare for its antioxidant properties, meaning it can neutralise free radicals before they can cause any cellular damage. It has also been shown to stabilise Vitamins C and E when used in combination, resulting in a boost in their efficacy vs being used without the addition of Ferulic acid.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pregnancy,,original,29,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Feverfew Extract,feverfewextract,"Feverfew has been used in ancient medicine for centuries to treat everything from headaches, constipation, vertigo, worms, spasms & arthritis. One of the oil-soluble flavonoids, Tanetin, has been shown to modulate inflammatory responses in the body, whilst other flavonoids provide antioxidant protection.",0.0,0.0,0.0,0.0,2.0,0.0,1.0,Redness|Pregnancy,,original,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Ficus carica fruit extract,ficuscaricafruitextract,"Rating: Poor. Categories: Plant Extracts, Sensitizing",-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,,Sensitizing,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Filipendula glaberrima,filipendulaglaberrima,"Rating: Best. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Filipendula rubra,filipendularubra,"Rating: Best. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Foeniculum vulgare extract,foeniculumvulgareextract,"Rating: Poor. Categories: Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",-1.0,0.0,0.0,1.0,-4.0,0.0,0.0,,Sensitizing,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Fomes Ofﬁcinalis (Mushroom) Extract,fomesofcinalismushroomextract,Fomes ofﬁcinalis is in a class of ingredients also known as mushroom extract and polyporus umbellatus (mushroom) extract,1.0,3.0,1.0,1.0,0.0,1.0,0.0,Enlarged Pores|Oily|Radiance,,original,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Fructooligosaccharides,fructooligosaccharides,"Fructooligosaccharides are in a class of prebiotic ingredients also found on ingredients lists as alpha-glucan oligosaccharide, fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract.

Prebiotics are a class of ingredients which can be found on ingredients lists as alpha-glucan oligosaccharide, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract. ",0.0,4.0,2.0,0.0,2.0,0.0,1.0,Acne|Blackheads|Redness|Pregnancy,,original,58,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,beneficial,Karma cilt için faydalı bileşen,Beneficial for combination skin,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Fu ling,fuling,"Rating: Best. Categories: Skin-Soothing, Antioxidants, Plant Extracts",1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Fucus vesiculosus extract,fucusvesiculosusextract,"Rating: Best. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,20,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
GLA,gla,"Rating: Best. Categories: Antioxidants, Emollients, Skin-Restoring",3.0,0.0,0.0,1.0,1.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Ganoderma lucidum extract,ganodermalucidumextract,"Rating: Average. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Gardenia florida extract,gardeniafloridaextract,"Rating: Poor. Categories: Antioxidants, Sensitizing, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",-1.0,0.0,0.0,1.0,-4.0,0.0,0.0,,Sensitizing,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Gellidiela acerosa extract,gellidielaacerosaextract,"Rating: Good. Categories: Antioxidants, Emollients, Plant Extracts",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,6,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Gentiana lutea (Gentian) root extract,gentianaluteagentianrootextract,"Rating: Best. Categories: Skin-Soothing, Antioxidants, Plant Extracts",1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,noxmoon,31,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Geranium pretense,geraniumpretense,"Rating: Poor. Categories: Antioxidants, Plant Extracts, Sensitizing",-1.0,0.0,0.0,1.0,-2.0,0.0,0.0,,Sensitizing,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Germaben II,germabenii,Rating: Good. Categories: Preservatives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Preservative,Koruyucu,Ürünün raf ömrünü uzatan koruyucu madde,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Ginkgo Biloba,ginkgobiloba,"Ginkgo Biloba is a tree native to Asia, one of the oldest plant species on the planet, and rich in flavonoids and terpenoids. These provide powerful antioxidant protection, reducing potential damage caused by reactive free radicals. Studies have also shown Ginkgo Biloba to provide skin-smoothing and hydrating properties.",0.0,0.0,0.0,0.0,2.0,0.0,1.0,Redness|Pregnancy,,original,1,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Ginkgo biloba leaf extract,ginkgobilobaleafextract,"Rating: Best. Categories: Skin-Soothing, Antioxidants, Plant Extracts",1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,noxmoon,86,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Gluconolactone,gluconolactone,"Gluconolactone is a poly hydroxy acid (PHA). PHAs work by gently dissolving the keratin that binds our outermost layer of skin cells, encouraging the natural exfoliation process of the skin, leading to smoother, clearer skin. This process also encourages new skin cell generation in the basal layer of the epidermis, a process which naturally slows with age, so with repeated use this can have an overall anti-ageing effect on the skin. Gluconolactone has also been shown to inhibit the enzyme elastase, which breaks down elastin in the skin (an essential protein produced by the fibroblasts), leading to sagging of the skin.

PHAs are much larger in molecular weight vs AHAs so they cannot penetrate the skin as fast or as far, which therefore makes more gentle & suitable for more sensitive skin types, including those with rosacea-prone skin. Gluconolactone is also especially good for drier skin types as it also has natural humectant qualities, meaning it draws water towards it, hydrating the skin from within. 

Gluconolactone is in a class of polyhydroxy acid ingredients also known by lactobionic acid, and maltobionic acid.",4.0,6.0,5.0,3.0,1.0,4.0,1.0,Acne|Blackheads|Dry and dehydrated skin|Enlarged Pores|Fine Lines|Pigmentation|Post Blemish Marks|Radiance|Pregnancy|Texture,,original,129,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,beneficial,Karma cilt için faydalı bileşen,Beneficial for combination skin,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Glyceryl Glucoside,glycerylglucoside,"Glyceryl Glucoside is used in skincare for its hydrating abilities. It works by stimulating the production of Aquaporin 3, a natural substance found in the epidermis to regulate the movement of water between cells. An increased level of Aquaporin 3 in the skin results in improved hydration throughout the surface, and deeper layers, of the skin.",5.0,0.0,1.0,2.0,3.0,1.0,1.0,Dry and dehydrated skin|Impaired skin barrier|Radiance|Pregnancy|Texture,,original,5,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Glycine,glycine,"Glycine is an amino acid that is found in glycerine and collagen, which are ingredients in many skincare products.  Glycine can improve the visible signs of aging, moisture retention, collagen production and regeneration.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine,acetyl tyrosinamide, alanine, arginine hcl, arginine pca, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.",3.0,0.0,1.0,1.0,1.0,5.0,1.0,Dry and dehydrated skin|Elasticity|Fine Lines|Pregnancy|Texture|Wrinkles,,original,137,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Glycine soja oil,glycinesojaoil,"Rating: Best. Categories: Plant Extracts, Emollients, Antioxidants",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,11,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Glycine soja seed extract,glycinesojaseedextract,"Rating: Best. Categories: Plant Extracts, Emollients",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Glycine soja sterols,glycinesojasterols,"Rating: Best. Categories: Plant Extracts, Emollients",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,5,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Glycolic Acid,glycolicacid,"Glycolic acid is an alpha hydroxy acid (AHA), derived from sugar cane. AHAs work by dissolving the keratin binding the outermost layer of skin cells, speeding up the skin’s natural exfoliation process. This leads to smoother, brighter, clearer skin, whilst reducing skin discolouration & fine lines/wrinkles with continued use.

Glycolic acid has the smallest molecular weight of all the AHAs, meaning it can penetrate the skin quickest, producing the fastest results, but also most likely to cause skin sensitivity, so it is best for those with fairly tolerant skin types.",1.0,6.0,5.0,3.0,-4.0,4.0,1.0,Acne|Blackheads|Enlarged Pores|Fine Lines|Pigmentation|Post Blemish Marks|Radiance|Pregnancy|Texture,Sensitive|Impaired skin barrier,original,444,Exfoliant (AHA),Peeling Asidi (AHA),Ölü deri hücrelerini temizleyen alfa hidroksi asit,neutral,,,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,beneficial,Karma cilt için faydalı bileşen,Beneficial for combination skin,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Glycolipids,glycolipids,"Glycolipids are made up of a sugar monomer (monosaccharide) and a lipid. This is the umbrella term encompassing ceramides, sphingoids & sterols.

Glycolipids is in the class of essential lipids, it can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycoproteins, glycosphingolipids, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.",3.0,0.0,0.0,0.0,3.0,0.0,0.0,Dry and dehydrated skin|Impaired skin barrier,,original,40,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Glycoproteins,glycoproteins,"Glycoproteins is in the class of essential lipids, they can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycolipids, glycosphingolipids, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.",5.0,0.0,1.0,2.0,3.0,1.0,1.0,Dry and dehydrated skin|Impaired skin barrier|Radiance|Pregnancy|Texture,,original,65,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Glycosphingolipids,glycosphingolipids,"Glycosphingolipids are naturally occurring in the skin and are involved in the skin’s natural ceramide-production process. 

It in the class of essential lipids, and can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycolipids, glycoproteins, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.",5.0,0.0,1.0,2.0,3.0,1.0,1.0,Dry and dehydrated skin|Impaired skin barrier|Radiance|Pregnancy|Texture,,original,34,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Glycyrrhiza glabra,glycyrrhizaglabra,"Rating: Best. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,11,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Glycyrrhiza uralensis root extract,glycyrrhizauralensisrootextract,"Rating: Best. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Golden-Eye Grass Complex,goldeneyegrasscomplex,"An antioxidant and anti-inflammatory plant extract which has been shown to balance the pH of the skin, keeping the natural lipid barrier functioning at its best and therefore providing protection against environmental stressors.",0.0,0.0,0.0,0.0,2.0,0.0,1.0,Redness|Pregnancy,,original,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Gossypium herbacuem seed oil,gossypiumherbacuemseedoil,Rating: Good. Categories: Plant Extracts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Green Tea,greentea,"Green Tea is a natural plant extract, rich in polyphenols, also known as catechins. Green Tea is particularly high in the catechin Epigallocatechin-3-gallate (EGCG), which is a powerful antioxidant, meaning it can neutralise free radicals to prevent them causing damage within the skin.",1.0,0.0,0.0,1.0,2.0,1.0,1.0,Redness|Radiance|Pregnancy,,original,2,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Guarana Extract,guaranaextract,"Guarana extract is derived from the seeds of the guarana plant (Paullinia cupana), which is native to the Amazon rainforest. It is used in skincare for its potential energizing, antioxidant, and skin-conditioning properties.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pregnancy,,original,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Haematococcus pluvialis extract,haematococcuspluvialisextract,"Rating: Best. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,6,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Hamamelis virginiana,hamamelisvirginiana,"Rating: Poor. Categories: Antioxidants, Sensitizing, Plant Extracts",-1.0,0.0,0.0,1.0,-2.0,0.0,0.0,,Sensitizing,noxmoon,3,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Haslea ostrearia extract,hasleaostreariaextract,"Rating: Good. Categories: Antioxidants, Emollients, Texture Enhancer, Thickeners/Emulsifiers, Plant Extracts",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Hedera helix,hederahelix,"Rating: Poor. Categories: Plant Extracts, Sensitizing",-1.0,0.0,0.0,0.0,-2.0,0.0,0.0,,Sensitizing,noxmoon,1,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",May have drying effects,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Helianthus annuus seed oil,helianthusannuusseedoil,"Rating: Best. Categories: Plant Extracts, Emollients",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,18,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Helianthus oil,helianthusoil,"Rating: Best. Categories: Plant Extracts, Emollients",1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Heptapeptide-15 Palmitate,heptapeptide15palmitate,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines. Peptides are made up of amino acids, and are unique in shape, with a huge variety available to target specific responses in the body.

Heptapeptide-15 palmitate is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. 
 ",0.0,0.0,0.0,0.0,0.0,5.0,1.0,Elasticity|Fine Lines|Pregnancy|Wrinkles,,original,2,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Hibiscus Fruit Extract,hibiscusfruitextract,Hibiscus fruit extract is derived from the flowers of the Hibiscus sabdariffa plant. It is used in skincare for its antioxidant and skin-nourishing properties.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pregnancy,,original,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Himanthalia elongate extract,himanthaliaelongateextract,"Rating: Good. Categories: Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Hippophae rhamnoides,hippophaerhamnoides,"Rating: Good. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,1,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Histidine,histidine,"Histidine is a semi-essential amino acid which the body does not produce. When synthetically produced is known for being more hydrating to the skin.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine,acetyl tyrosinamide, alanine, arginine hcl, arginine pca, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.",4.0,0.0,1.0,1.0,5.0,0.0,1.0,Dry and dehydrated skin|Impaired skin barrier|Redness|Pregnancy|Texture,,original,21,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Homosalate,homosalate,"Homosalate is a synthetic UV filter used in sun care products to provide UVB protection against the wavelengths 295-315 nm.

Other ingredients in the class of synthetic UV filters include bis-ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, ethylhexyl salicylate, ethylhexyl triazone, octinoxate, octisalate, octocrylene and triazine diethyl butamidotriazone.",1.0,1.0,1.0,1.0,-1.0,0.0,-2.0,UV Protection,Pregnancy|Sensitive,original,10,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın","Not recommended during pregnancy, consult your doctor"
Hordeum vulgare extract,hordeumvulgareextract,"Rating: Average. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,13,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Horse Chestnut,horsechestnut,"Horse Chestnut has powerful antioxidant properties, is able to soothe irritated skin, and has also been shown in some studies to have benefits in strengthening the blood vessels to reduce visible redness.",0.0,0.0,0.0,0.0,2.0,0.0,1.0,Redness|Pregnancy,,original,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Hortonia floribunda leaf extract,hortoniafloribundaleafextract,Rating: Average. Categories: Plant Extracts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
