name,name_normalized,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,oily_effect,oily_reason_tr,combination_effect,combination_reason_tr,normal_effect,normal_reason_tr,sensitive_effect,sensitive_reason_tr,mature_effect,mature_reason_tr,pregnancy_safe_effect,pregnancy_safe_reason_tr
Dmdm Hydantoin,dmdmhydantoin,0,0,0,0,-1,0,-1,,Sensitive|Pregnancy,top1000,222,Preservative,Koruyucu,"dmdm hydantoin, formülasyonu mikrobiyal kontaminasyondan koruyan koruyucu madde; ürünün güvenli raf ömrünü sağlar.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın"
Drometrizole Trisiloxane,drometrizoletrisiloxane,1,0,0,0,0,0,0,Texture,,top1000,47,Silicone,Silikon,"drometrizole trisiloxane, silikon bazlı bileşen; ciltte veya saçta pürüzsüz bir yüzey oluşturarak dokuyu iyileştirir, nem kaybını azaltır ve ürüne ipeksi bir uygulama hissi kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
EDTA,edta,0,0,0,0,0,0,0,,,manual_v2,124,Skincare Ingredient,Şelatör,"Metal iyonlarını bağlayarak formülasyonun stabilitesini koruyan şelatlama ajanı; ürünün rengini, kokusunu ve etkinliğini olumsuz etkileyen metal kontaminasyonunu önler.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eau),eau,0,0,0,0,0,0,0,,,top1000,126,Skincare Ingredient,Cilt Bakım Bileşeni,"eau), kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ectoin,ectoin,2,0,1,1,2,2,0,Dry and dehydrated skin|Redness|Impaired skin barrier|Fine Lines,,manual_v2,0,Skincare Ingredient,Hücre Koruyucu,"Ekstremofil bakterilerden elde edilen doğal stres koruyucu molekül; hücreleri UV hasarı, kirlilik ve dehidrasyona karşı korur, cildin bağışıklık sistemini destekler ve inflamasyonu azaltır.",beneficial,"Ekstremofil bakterilerden elde edilen doğal stres koruyucu molekül; hücreleri UV hasarı, kirlilik ve dehidrasyona karşı ",neutral,,neutral,,neutral,,beneficial,"Ekstremofil bakterilerden elde edilen doğal stres koruyucu molekül; hücreleri UV hasarı, kirlilik ve dehidrasyona karşı ",beneficial,"Ekstremofil bakterilerden elde edilen doğal stres koruyucu molekül; hücreleri UV hasarı, kirlilik ve dehidrasyona karşı ",neutral,
Equisetum Arvense Extract,equisetumarvenseextract,1,0,0,0,0,0,0,,,top1000,27,Botanical Extract,Bitkisel Ekstrakt,"equisetum arvense extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eryngium Maritimum Extract,eryngiummaritimumextract,0,0,0,0,0,3,0,Fine Lines|Wrinkles|Elasticity,,manual_v2,0,Botanical Extract,Bitkisel Ekstrakt (Deniz Çiğdemi),"Kıyı şeridinde yetişen deniz çiğdemi bitkisinden elde edilen ekstrakt; cildin kök hücrelerini koruyarak yaşlanma sürecini yavaşlatır, cilt yenilenmesini destekler ve elastikiyeti artırır.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,Kıyı şeridinde yetişen deniz çiğdemi bitkisinden elde edilen ekstrakt; cildin kök hücrelerini koruyarak yaşlanma sürecin,neutral,
Erythritol,erythritol,0,0,0,0,0,0,0,,,top1000,32,Skincare Ingredient,Cilt Bakım Bileşeni,"erythritol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethanolamine,ethanolamine,-2,0,0,0,-2,0,0,,,top1000,69,Skincare Ingredient,Cilt Bakım Bileşeni,"ethanolamine, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",caution,"Kurutucu etki yapabilir, nemlendiriciyle kullanılmalı",neutral,,neutral,,neutral,,caution,Hassas ciltte tahriş ve kızarıklık yapabilir,neutral,,neutral,
Ethoxydiglycol,ethoxydiglycol,2,0,0,0,0,0,0,Dry and dehydrated skin,,top1000,27,Humectant,Nemlendirici,"ethoxydiglycol, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı gerginlik hissini azaltır.",beneficial,"ethoxydiglycol, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı gerginlik hissin",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethyl Acetate,ethylacetate,0,0,0,0,0,0,0,,,top1000,77,Skincare Ingredient,Cilt Bakım Bileşeni,"ethyl acetate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylated Ascorbic Acid,ethylatedascorbicacid,1,1,1,1,1,2,0,Pigmentation|Radiance|Fine Lines,,manual_v2,0,Vitamin C,C Vitamini (Etillenmiş),"C vitamininin hem yağda hem suda çözünür stabil türevi; doğrudan aktif form olarak çalışır, hızlı aydınlatma ve antioksidan etki sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,"C vitamininin hem yağda hem suda çözünür stabil türevi; doğrudan aktif form olarak çalışır, hızlı aydınlatma ve antioksi",neutral,
Ethylhexyl Cocoate,ethylhexylcocoate,0,0,0,0,0,0,0,,,top1000,31,Skincare Ingredient,Cilt Bakım Bileşeni,"ethylhexyl cocoate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylhexyl Methoxycinnamate,ethylhexylmethoxycinnamate,0,0,0,0,-1,0,-1,UV Protection,Sensitive|Pregnancy,manual_v2,275,Sunscreen Agent,Kimyasal Güneş Filtresi (Octinoxate),"Yaygın kullanılan kimyasal UVB filtresi; UV ışınlarını emerek ısıya dönüştürür, ancak hormonal etkileşim endişeleri ve hassas ciltlerde tahriş riski nedeniyle tartışmalı bir bileşendir.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın"
Ethylhexyl Palmitate,ethylhexylpalmitate,1,0,0,0,0,0,0,Texture,,top1000,213,Emollient,Yumuşatıcı Ester,"ethylhexyl palmitate, yağ asidi esteri; cildi yumuşatır, formülasyona hafif ve pürüzsüz bir doku kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylhexyl Salicylate,ethylhexylsalicylate,0,0,0,0,0,0,-1,,,top1000,409,Skincare Ingredient,Cilt Bakım Bileşeni,"ethylhexyl salicylate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,caution,"Hamilelikte önerilmez, doktorunuza danışın"
Ethylhexyl Stearate,ethylhexylstearate,1,0,0,0,0,0,0,Texture,,top1000,168,Emollient,Yumuşatıcı Ester,"ethylhexyl stearate, yağ asidi esteri; cildi yumuşatır, formülasyona hafif ve pürüzsüz bir doku kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylhexyl Sulfur,ethylhexylsulfur,-1,2,1,0,-1,0,0,Acne|Oily,Sensitive|Dry Dehydrated,manual_v2,0,Skincare Ingredient,Antimikrobiyal (Kükürt Türevi),"Organik kükürt bileşeni; antibakteriyel ve antifungal özellikler taşır, akne tedavisinde yağ üretimini dengelemeye yardımcı olur ve cilt yüzeyindeki bakteriyel aktiviteyi azaltır.",caution,Kurutucu etki yapabilir,beneficial,"Organik kükürt bileşeni; antibakteriyel ve antifungal özellikler taşır, akne tedavisinde yağ üretimini dengelemeye yardı",neutral,,neutral,,caution,Hassas ciltte tahriş yapabilir,neutral,,neutral,
Ethylhexyl Triazone,ethylhexyltriazone,0,0,0,0,0,0,0,,,top1000,265,Skincare Ingredient,Cilt Bakım Bileşeni,"ethylhexyl triazone, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylhexylglycerin,ethylhexylglycerin,1,0,0,0,0,0,0,,,manual_v2,1210,Preservative,Koruyucu Destekçi,Phenoxyethanol'ün etkinliğini artıran yardımcı koruyucu; aynı zamanda hafif yumuşatıcı özellik taşır ve formülasyonda daha düşük koruyucu kullanımına olanak sağlar.,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ethylparaben,ethylparaben,0,0,0,0,-1,0,-1,,Sensitive|Pregnancy,top1000,157,Preservative,Koruyucu,"ethylparaben, formülasyonu mikrobiyal kontaminasyondan koruyan koruyucu madde; ürünün güvenli raf ömrünü sağlar.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın"
Etidronic Acid,etidronicacid,0,0,0,0,0,0,0,,,top1000,101,Skincare Ingredient,Şelatör,"etidronic acid, metal iyonlarını bağlayarak formülasyonun stabilitesini koruyan şelatlama ajanı; ürünün renk, koku ve etkinlik kaybını önler.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eucalyptol,eucalyptol,0,0,0,0,0,0,0,,,top1000,58,Skincare Ingredient,Cilt Bakım Bileşeni,"eucalyptol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eucalyptus Globulus Leaf Extract,eucalyptusglobulusleafextract,1,0,0,0,0,0,0,,,top1000,32,Botanical Extract,Bitkisel Ekstrakt,"eucalyptus globulus leaf extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eucalyptus Globulus Leaf Oil,eucalyptusglobulusleafoil,0,0,0,0,0,0,0,,,top1000,77,Skincare Ingredient,Cilt Bakım Bileşeni,"eucalyptus globulus leaf oil, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eucalyptus Globulus Oil,eucalyptusglobulusoil,0,0,0,0,0,0,0,,,top1000,28,Skincare Ingredient,Cilt Bakım Bileşeni,"eucalyptus globulus oil, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Eugenol,eugenol,0,0,0,0,-1,0,0,,Sensitive,top1000,577,Fragrance Allergen,Koku Alerjeni,"eugenol, kozmetik ürünlerde koku bileşeni olarak kullanılan ve AB mevzuatına göre etiketlenmesi zorunlu olan potansiyel alerjen; hassas ciltlerde alerjik reaksiyon, kızarıklık veya kontakt dermatit riski taşır.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,neutral,
Euphorbia Cerifera (Candelilla) Wax,euphorbiaceriferacandelillawax,1,0,0,0,0,0,0,,,top1000,32,Skincare Ingredient,Cilt Bakım Bileşeni,"euphorbia cerifera (candelilla) wax, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Farnesol,farnesol,0,0,0,0,-1,0,0,,Sensitive,top1000,131,Fragrance Allergen,Koku Alerjeni,"farnesol, kozmetik ürünlerde koku bileşeni olarak kullanılan ve AB mevzuatına göre etiketlenmesi zorunlu olan potansiyel alerjen; hassas ciltlerde alerjik reaksiyon, kızarıklık veya kontakt dermatit riski taşır.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,neutral,
Ferulic Acid,ferulicacid,0,0,0,1,0,2,0,Pigmentation|Fine Lines|Radiance,,manual_v2,0,Antioxidant,Antioksidan (Ferulik Asit),"Bitkilerde bulunan güçlü fenolok asit; C ve E vitaminlerinin antioksidan etkinliğini iki katına çıkarır, UV korumasını artırır ve hiperpigmentasyonu azaltmaya yardımcı olur.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,"Bitkilerde bulunan güçlü fenolok asit; C ve E vitaminlerinin antioksidan etkinliğini iki katına çıkarır, UV korumasını a",neutral,
Flavor,flavor,0,0,0,0,0,0,0,,,top1000,92,Skincare Ingredient,Cilt Bakım Bileşeni,"flavor, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Flavour,flavour,0,0,0,0,0,0,0,,,top1000,28,Skincare Ingredient,Cilt Bakım Bileşeni,"flavour, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Formic Acid,formicacid,0,0,0,0,0,0,0,,,top1000,77,Skincare Ingredient,Cilt Bakım Bileşeni,"formic acid, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Fragrance,fragrance,-1,0,0,0,-2,0,-1,,Sensitive|Impaired skin barrier,manual_v2,28,Fragrance,Parfüm / Koku,"Ürüne koku kazandıran sentetik veya doğal aroma bileşenleri karışımı; herhangi bir cilt bakım faydası yoktur, hassas ciltlerde tahriş, kızarıklık, alerjik reaksiyon ve kontakt dermatit riski taşır.",caution,"Kurutucu etki yapabilir, nemlendiriciyle birlikte kullanılmalı",neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın"
Fragrance (Parfum),fragranceparfum,0,0,0,0,-1,0,0,,,top1000,416,Skincare Ingredient,Cilt Bakım Bileşeni,"fragrance (parfum), kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,caution,Hassas ciltte tahriş ve kızarıklık yapabilir,neutral,,neutral,
Fructooligosaccharides,fructooligosaccharides,1,0,0,1,2,0,0,Impaired skin barrier|Redness|Anyone,,manual_v2,44,Prebiotic / Probiotic,Prebiyotik,"Prebiyotik şeker zinciri; cildin faydalı bakterilerini besleyerek mikrobiyom dengesini korur, zararlı bakteri üremesini baskılar ve cilt savunma sistemini güçlendirir.",neutral,,neutral,,neutral,,neutral,,beneficial,"Prebiyotik şeker zinciri; cildin faydalı bakterilerini besleyerek mikrobiyom dengesini korur, zararlı bakteri üremesini ",neutral,,neutral,
Fructose,fructose,1,0,0,0,0,0,0,,,top1000,56,Skincare Ingredient,Cilt Bakım Bileşeni,"fructose, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Fucus Vesiculosus Extract,fucusvesiculosusextract,1,0,0,0,0,0,0,,,top1000,41,Botanical Extract,Bitkisel Ekstrakt,"fucus vesiculosus extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Fumaric Acid,fumaricacid,0,0,0,0,0,0,0,,,top1000,83,Skincare Ingredient,Cilt Bakım Bileşeni,"fumaric acid, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Galactoarabinan,galactoarabinan,0,0,0,0,0,0,0,,,top1000,39,Skincare Ingredient,Cilt Bakım Bileşeni,"galactoarabinan, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Gardenia Taitensis Flower Extract,gardeniataitensisflowerextract,1,0,0,0,0,0,0,,,top1000,27,Botanical Extract,Bitkisel Ekstrakt,"gardenia taitensis flower extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Gelatin Crosspolymer,gelatincrosspolymer,0,0,0,0,0,0,0,,,top1000,37,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"gelatin crosspolymer, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Gellan Gum,gellangum,0,0,0,0,0,0,0,,,top1000,31,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"gellan gum, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Geraniol,geraniol,0,0,0,0,-1,0,0,,Sensitive,top1000,1873,Fragrance Allergen,Koku Alerjeni,"geraniol, kozmetik ürünlerde koku bileşeni olarak kullanılan ve AB mevzuatına göre etiketlenmesi zorunlu olan potansiyel alerjen; hassas ciltlerde alerjik reaksiyon, kızarıklık veya kontakt dermatit riski taşır.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,neutral,
Geranyl Acetate,geranylacetate,0,0,0,0,0,0,0,,,top1000,37,Skincare Ingredient,Cilt Bakım Bileşeni,"geranyl acetate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ginkgo Biloba Leaf Extract,ginkgobilobaleafextract,1,0,0,1,1,2,-1,Fine Lines|Radiance|Redness,Pregnancy,manual_v2,35,Botanical Extract,Bitkisel Ekstrakt (Ginkgo),"Ginkgo biloba yaprağından elde edilen güçlü antioksidan; kan dolaşımını iyileştirerek cildin beslenmesini artırır, serbest radikal hasarına karşı korur ve anti-inflamatuar etki gösterir.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,"Ginkgo biloba yaprağından elde edilen güçlü antioksidan; kan dolaşımını iyileştirerek cildin beslenmesini artırır, serbe",caution,"Hamilelikte kullanımı önerilmez, doktorunuza danışın"
Glabridin,glabridin,0,0,0,1,1,2,0,Pigmentation|Radiance|Redness,,manual_v2,0,Skincare Ingredient,Aydınlatıcı (Meyan Kökü Türevi),"Meyan kökünden izole edilen güçlü aktif bileşen; tirozinaz enzimini inhibe ederek melanin üretimini azaltır, hiperpigmentasyonu hafifletir, anti-inflamatuar ve antioksidan özellikler taşır.",neutral,,neutral,,neutral,,neutral,,neutral,,beneficial,"Meyan kökünden izole edilen güçlü aktif bileşen; tirozinaz enzimini inhibe ederek melanin üretimini azaltır, hiperpigmen",neutral,
Glicerina,glicerina,0,0,0,0,0,0,0,,,top1000,51,Skincare Ingredient,Cilt Bakım Bileşeni,"glicerina, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Gluconic Acid,gluconicacid,1,1,1,0,1,1,0,Texture|Anyone,,manual_v2,0,Exfoliant (PHA),Peeling Asidi (PHA),"Glukonolaktonun açık asit formu olan polihidroksi asit; en nazik peeling asitlerinden biri olup büyük molekül yapısı sayesinde cildi tahriş etmeden yüzeysel yenilenme sağlar, aynı zamanda şelatör ve nemlendirici özellik taşır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Gluconolactone,gluconolactone,1,2,1,0,1,2,0,Texture|Radiance|Fine Lines|Anyone,,top1000,147,Exfoliant (PHA),Peeling Asidi (PHA),"En nazik peeling asitlerinden biri olan polihidroksi asit (PHA); büyük molekül yapısı sayesinde cildin yüzeyinde yavaş ve nazik peeling yapar, aynı zamanda nemlendirici ve antioksidan özellik taşır, hassas ciltler için idealdir.",neutral,,beneficial,En nazik peeling asitlerinden biri olan polihidroksi asit (PHA); büyük molekül yapısı sayesinde cildin yüzeyinde yavaş,neutral,,neutral,,neutral,,beneficial,En nazik peeling asitlerinden biri olan polihidroksi asit (PHA); büyük molekül yapısı sayesinde cildin yüzeyinde yavaş,neutral,
Glucose,glucose,1,0,0,0,0,0,0,,,top1000,147,Skincare Ingredient,Cilt Bakım Bileşeni,"glucose, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glutamic Acid,glutamicacid,1,0,0,0,0,0,0,Dry and dehydrated skin,,top1000,74,Skincare Ingredient,Amino Asit / Protein,"glutamic acid, cildin yapısal proteinlerini ve doğal nem faktörünü destekleyen amino asit veya protein bileşeni; nem tutmaya ve bariyer fonksiyonuna katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glycereth-26,glycereth26,0,0,0,0,0,0,0,,,manual_v2,0,Skincare Ingredient,Emülgatör / Çözücü,"Gliserinin etoksillenmiş formu; formülasyonda çözücü ve nemlendirici olarak çalışır, diğer bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glycerin,glycerin,3,0,1,1,2,1,0,Dry and dehydrated skin|Impaired skin barrier|Anyone,,manual_v2,60,Humectant,Nemlendirici (Humektan),"En yaygın ve güvenilir nemlendiricilerden biri; havadan nem çekerek cildi nemli tutar, cilt bariyerini destekler ve diğer aktif bileşenlerin emilimini kolaylaştırır.",beneficial,"En yaygın ve güvenilir nemlendiricilerden biri; havadan nem çekerek cildi nemli tutar, cilt bariyerini destekler ve diğe",neutral,,neutral,,neutral,,beneficial,"En yaygın ve güvenilir nemlendiricilerden biri; havadan nem çekerek cildi nemli tutar, cilt bariyerini destekler ve diğe",neutral,,neutral,
Glycerine,glycerine,2,0,0,0,0,0,0,Dry and dehydrated skin,,top1000,52,Humectant,Nemlendirici,"glycerine, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı gerginlik hissini azaltır.",beneficial,"glycerine, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı gerginlik hissini aza",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Behenate,glycerylbehenate,0,0,0,0,0,0,0,,,top1000,53,Skincare Ingredient,Cilt Bakım Bileşeni,"glyceryl behenate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Caprylate,glycerylcaprylate,1,0,0,0,0,0,0,Texture,,top1000,282,Emollient,Yumuşatıcı Ester,"glyceryl caprylate, yağ asidi esteri; cildi yumuşatır, formülasyona hafif ve pürüzsüz bir doku kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Caprylate/Caprate,glycerylcaprylatecaprate,1,0,0,0,0,0,0,,,manual_v2,0,Emollient,Yumuşatıcı / Antimikrobiyal,"Gliserin ve orta zincirli yağ asitlerinin esteri; cildi yumuşatırken aynı zamanda antimikrobiyal etki gösterir, formülasyonda koruyucu yükünü azaltmaya yardımcı olur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Dibehenate,glyceryldibehenate,1,0,0,0,0,0,0,,,manual_v2,0,Emollient,Yumuşatıcı / Kıvam Artırıcı,"Gliserin ve behenik asidin diestere; formülasyona zengin ve kremsi kıvam kazandırır, ciltte koruyucu bir tabaka oluşturarak nem kaybını önler.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Glucoside,glycerylglucoside,1,0,0,0,0,0,0,Anyone,,top1000,68,Surfactant,Yüzey Aktif Madde (Nazik),"glyceryl glucoside, nazik temizleyici yüzey aktif madde; cildi fazla kurutmadan etkili temizlik sağlar ve hassas cilt formülasyonlarında tercih edilir.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Isostearate,glycerylisostearate,1,0,0,0,0,0,0,Texture,,top1000,28,Emollient,Yumuşatıcı Ester,"glyceryl isostearate, yağ asidi esteri; cildi yumuşatır, formülasyona hafif ve pürüzsüz bir doku kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Laurate,glyceryllaurate,1,0,0,0,0,0,0,,,top1000,51,Skincare Ingredient,Emülgatör,"glyceryl laurate, yağ ve su fazlarını stabil bir şekilde bir arada tutan emülgatör; formülasyonun homojen yapısını korur ve kremsi doku oluşturur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Linoleate,glyceryllinoleate,1,0,0,0,0,0,0,Texture,,top1000,46,Emollient,Yumuşatıcı Ester,"glyceryl linoleate, yağ asidi esteri; cildi yumuşatır, formülasyona hafif ve pürüzsüz bir doku kazandırır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Linolenate,glyceryllinolenate,0,0,0,0,0,0,0,,,top1000,35,Skincare Ingredient,Cilt Bakım Bileşeni,"glyceryl linolenate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Oleate,glyceryloleate,1,0,0,0,0,0,0,,,top1000,667,Skincare Ingredient,Emülgatör,"glyceryl oleate, yağ ve su fazlarını stabil bir şekilde bir arada tutan emülgatör; formülasyonun homojen yapısını korur ve kremsi doku oluşturur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Glyceryl Polymethacrylate,glycerylpolymethacrylate,0,0,0,0,0,0,0,,,manual_v2,0,Skincare Ingredient,Film Oluşturucu / Kıvam Artırıcı,Akrilik polimer; formülasyona jel benzeri kıvam kazandırır ve ciltte ince bir film oluşturarak nem kaybını azaltır.,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
